--- Startup times for process: Primary/TUI ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.001  000.001: --- NVIM STARTING ---
000.453  000.453: event init
000.617  000.164: early init
000.843  000.226: locale set
000.877  000.034: init first window
002.646  001.769: inits 1
002.662  000.016: window checked
003.154  000.492: parsing arguments
003.987  000.225  000.225: require('vim.shared')
004.076  000.059  000.059: require('vim.inspect')
004.108  000.022  000.022: require('vim._options')
004.112  000.121  000.039: require('vim._editor')
004.113  000.382  000.037: require('vim._init_packages')
004.115  000.579: init lua interpreter
006.319  002.204: expanding arguments
006.341  000.023: inits 2
006.505  000.163: init highlight
006.539  000.034: clear screen
006.754  000.007  000.007: require('vim.keymap')
009.894  003.352  003.345: require('vim._defaults')
009.929  000.039: init default mappings & autocommands
010.795  000.202  000.202: sourcing /usr/local/Cellar/neovim/0.10.4_1/share/nvim/runtime/ftplugin.vim
011.056  000.018  000.018: sourcing /usr/local/Cellar/neovim/0.10.4_1/share/nvim/runtime/indent.vim
013.124  000.839  000.839: require('lazy')
013.200  000.015  000.015: require('ffi')
013.276  000.057  000.057: require('vim.fs')
013.443  000.154  000.154: require('vim.uri')
013.449  000.247  000.037: require('vim.loader')
014.064  000.570  000.570: require('lazy.stats')
014.596  000.261  000.261: require('lazy.core.util')
015.627  001.030  001.030: require('lazy.core.config')
016.451  000.701  000.701: require('lazy.core.handler')
016.753  000.061  000.061: require('lazy.pkg')
016.756  000.144  000.083: require('lazy.core.meta')
016.760  000.307  000.163: require('lazy.core.plugin')
016.764  001.136  000.127: require('lazy.core.loader')
020.584  000.459  000.459: require('lazy.async')
022.016  000.780  000.780: require('lazy.manage.process')
022.751  000.734  000.734: require('lazy.terminal')
022.756  002.170  000.656: require('lazy.manage.task')
022.759  003.017  000.387: require('lazy.manage.runner')
022.762  003.590  000.573: require('lazy.manage')
022.764  004.033  000.444: require('lazy.view.commands')
023.446  000.660  000.660: require('lazy.core.fragments')
027.972  000.655  000.655: require('lazy.core.handler.cmd')
028.038  000.063  000.063: require('lazy.core.handler.keys')
028.102  000.063  000.063: require('lazy.core.handler.event')
028.155  000.051  000.051: require('lazy.core.handler.ft')
031.729  000.682  000.682: sourcing /usr/local/Cellar/neovim/0.10.4_1/share/nvim/runtime/filetype.lua
035.797  000.103  000.103: require('nlua.include_expr')
035.799  002.855  002.752: require('nlua')
036.267  003.331  000.476: sourcing /Users/phaedrus/.local/share/nvim/lazy/nlua.nvim/plugin/nlua.vim
036.929  000.007  000.007: sourcing /Users/phaedrus/.local/share/nvim/lazy/vim-slim/ftdetect/slim.vim
040.001  002.306  002.306: require('cmp.utils.api')
040.178  000.058  000.058: require('cmp.types.cmp')
040.328  000.085  000.085: require('cmp.utils.misc')
040.461  000.281  000.196: require('cmp.types.lsp')
041.374  000.912  000.912: require('cmp.types.vim')
041.376  001.373  000.121: require('cmp.types')
042.352  000.975  000.975: require('cmp.utils.highlight')
043.036  000.065  000.065: require('cmp.utils.debug')
043.040  000.687  000.622: require('cmp.utils.autocmd')
043.761  006.591  001.249: sourcing /Users/phaedrus/.local/share/nvim/lazy/nvim-cmp/plugin/cmp.lua
044.459  000.433  000.433: sourcing /Users/phaedrus/.local/share/nvim/lazy/rust.vim/plugin/cargo.vim
044.515  000.023  000.023: sourcing /Users/phaedrus/.local/share/nvim/lazy/rust.vim/plugin/rust.vim
044.741  000.017  000.017: sourcing /Users/phaedrus/.local/share/nvim/lazy/rust.vim/ftdetect/rust.vim
045.491  000.006  000.006: sourcing /Users/phaedrus/.local/share/nvim/lazy/vim-firestore/ftdetect/firestore.vim
046.325  000.225  000.225: sourcing /Users/phaedrus/.local/share/nvim/lazy/plenary.nvim/plugin/plenary.vim
048.842  000.865  000.865: require('vim.lsp.log')
052.916  004.072  004.072: require('vim.lsp.protocol')
054.224  000.442  000.442: require('vim.lsp._snippet_grammar')
054.298  000.071  000.071: require('vim.highlight')
054.303  000.003  000.003: require('vim.F')
054.311  001.390  000.874: require('vim.lsp.util')
054.441  000.060  000.060: require('vim.lsp.sync')
054.444  000.132  000.072: require('vim.lsp._changetracking')
054.532  000.087  000.087: require('vim.lsp.rpc')
054.554  007.273  000.728: require('vim.lsp')
057.073  002.518  002.518: require('lspconfig.util')
057.087  010.564  000.773: sourcing /Users/phaedrus/.local/share/nvim/lazy/nvim-lspconfig/plugin/lspconfig.lua
063.920  000.086  000.086: require('nvim-treesitter.utils')
064.728  000.072  000.072: require('vim.treesitter.language')
064.885  000.154  000.154: require('vim.func')
065.154  000.265  000.265: require('vim.func._memoize')
065.546  001.007  000.516: require('vim.treesitter.query')
066.421  000.874  000.874: require('vim.treesitter._range')
066.604  002.161  000.279: require('vim.treesitter.languagetree')
066.617  002.448  000.287: require('vim.treesitter')
067.410  003.489  001.041: require('nvim-treesitter.parsers')
068.393  000.051  000.051: require('nvim-treesitter.compat')
068.508  000.058  000.058: require('nvim-treesitter.ts_utils')
068.510  000.116  000.058: require('nvim-treesitter.tsrange')
068.562  000.050  000.050: require('nvim-treesitter.caching')
068.566  000.286  000.068: require('nvim-treesitter.query')
068.572  000.363  000.078: require('nvim-treesitter.configs')
068.574  001.162  000.799: require('nvim-treesitter.info')
068.637  000.062  000.062: require('nvim-treesitter.shell_command_selectors')
068.671  005.000  000.200: require('nvim-treesitter.install')
068.724  000.051  000.051: require('nvim-treesitter.statusline')
068.781  000.057  000.057: require('nvim-treesitter.query_predicates')
068.783  010.663  005.555: require('nvim-treesitter')
069.519  011.482  000.820: sourcing /Users/phaedrus/.local/share/nvim/lazy/nvim-treesitter/plugin/nvim-treesitter.lua
069.944  000.032  000.032: sourcing /Users/phaedrus/.local/share/nvim/lazy/vim-coffee-script/ftdetect/coffee.vim
069.991  000.009  000.009: sourcing /Users/phaedrus/.local/share/nvim/lazy/vim-coffee-script/ftdetect/vim-literate-coffeescript.vim
070.463  000.009  000.009: sourcing /Users/phaedrus/.local/share/nvim/lazy/goyo.vim/plugin/goyo.vim
070.973  000.043  000.043: sourcing /Users/phaedrus/.local/share/nvim/lazy/go.nvim/ftdetect/filetype.vim
074.576  001.282  001.282: sourcing /Users/phaedrus/.local/share/nvim/lazy/telescope.nvim/plugin/telescope.lua
076.859  001.351  001.351: require('vim.filetype')
081.663  000.153  000.153: require('luasnip.util.types')
081.666  000.319  000.165: require('luasnip.util.ext_opts')
081.897  000.075  000.075: require('luasnip.util.lazy_table')
081.972  000.074  000.074: require('luasnip.extras.filetype_functions')
