--- Startup times for process: Primary/TUI ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.001  000.001: --- NVIM STARTING ---
000.584  000.583: event init
000.774  000.191: early init
001.037  000.263: locale set
001.075  000.038: init first window
003.331  002.256: inits 1
003.342  000.011: window checked
003.976  000.634: parsing arguments
004.976  000.291  000.291: require('vim.shared')
005.085  000.072  000.072: require('vim.inspect')
005.129  000.029  000.029: require('vim._options')
005.130  000.150  000.049: require('vim._editor')
005.132  000.479  000.039: require('vim._init_packages')
005.136  000.680: init lua interpreter
007.272  002.137: expanding arguments
007.295  000.022: inits 2
007.480  000.185: init highlight
007.506  000.026: clear screen
007.729  000.007  000.007: require('vim.keymap')
010.432  002.922  002.915: require('vim._defaults')
010.723  000.295: init default mappings & autocommands
011.725  000.228  000.228: sourcing /usr/local/Cellar/neovim/0.10.4_1/share/nvim/runtime/ftplugin.vim
011.801  000.021  000.021: sourcing /usr/local/Cellar/neovim/0.10.4_1/share/nvim/runtime/indent.vim
014.308  000.988  000.988: require('lazy')
014.419  000.032  000.032: require('ffi')
014.493  000.033  000.033: require('vim.fs')
014.627  000.130  000.130: require('vim.uri')
014.634  000.210  000.047: require('vim.loader')
018.052  003.367  003.367: require('lazy.stats')
019.019  000.639  000.639: require('lazy.core.util')
019.143  000.122  000.122: require('lazy.core.config')
019.775  000.095  000.095: require('lazy.core.handler')
020.515  000.553  000.553: require('lazy.pkg')
020.518  000.656  000.103: require('lazy.core.meta')
020.523  000.746  000.090: require('lazy.core.plugin')
020.529  001.384  000.543: require('lazy.core.loader')
024.100  000.579  000.579: require('lazy.async')
025.352  000.523  000.523: require('lazy.manage.process')
025.966  000.612  000.612: require('lazy.terminal')
025.970  001.864  000.729: require('lazy.manage.task')
025.972  002.694  000.251: require('lazy.manage.runner')
025.974  002.982  000.287: require('lazy.manage')
025.977  003.427  000.445: require('lazy.view.commands')
026.667  000.664  000.664: require('lazy.core.fragments')
034.130  000.766  000.766: require('lazy.core.handler.cmd')
034.336  000.100  000.100: require('lazy.core.handler.event')
034.338  000.177  000.076: require('lazy.core.handler.ft')
035.096  000.683  000.683: require('lazy.core.handler.keys')
040.664  000.899  000.899: sourcing /usr/local/Cellar/neovim/0.10.4_1/share/nvim/runtime/filetype.lua
042.104  000.419  000.419: sourcing /Users/phaedrus/.local/share/nvim/lazy/vim-sleuth/plugin/sleuth.vim
044.525  001.384  001.384: require('vim.filetype')
051.772  000.547  000.547: require('luasnip.util.types')
051.776  000.856  000.308: require('luasnip.util.ext_opts')
052.049  000.089  000.089: require('luasnip.util.lazy_table')
052.119  000.069  000.069: require('luasnip.extras.filetype_functions')
052.126  000.277  000.119: require('luasnip.default_config')
052.128  000.350  000.074: require('luasnip.session')
052.129  005.040  003.834: require('luasnip.config')
052.702  000.389  000.389: require('luasnip.util.util')
054.171  000.860  000.860: require('luasnip.nodes.key_indexer')
054.413  000.240  000.240: require('luasnip.util.feedkeys')
054.420  001.717  000.617: require('luasnip.nodes.util')
054.794  000.121  000.121: require('luasnip.session.snippet_collection.source')
054.853  000.058  000.058: require('luasnip.util.table')
054.909  000.055  000.055: require('luasnip.util.auto_table')
054.913  000.492  000.258: require('luasnip.session.snippet_collection')
055.121  000.061  000.061: require('luasnip.util.select')
055.357  000.234  000.234: require('luasnip.util.time')
057.773  002.801  002.505: require('luasnip.util._builtin_vars')
057.940  003.026  000.225: require('luasnip.util.environ')
058.401  000.460  000.460: require('luasnip.util.extend_decorator')
059.242  000.543  000.543: require('luasnip.util.path')
059.701  000.108  000.108: require('luasnip.util.log')
059.706  000.463  000.355: require('luasnip.loaders.util')
059.766  000.004  000.004: require('vim.F')
059.769  000.062  000.058: require('luasnip.loaders.data')
059.898  000.129  000.129: require('luasnip.loaders.fs_watchers')
059.900  001.498  000.301: require('luasnip.loaders')
059.912  007.777  000.195: require('luasnip')
060.164  017.764  003.562: sourcing /Users/phaedrus/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.lua
061.089  000.025  000.025: sourcing /Users/phaedrus/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.vim
069.701  000.146  000.146: require('nvim-treesitter.utils')
071.103  000.349  000.349: require('vim.treesitter.language')
071.198  000.091  000.091: require('vim.func')
071.325  000.122  000.122: require('vim.func._memoize')
072.084  001.460  000.898: require('vim.treesitter.query')
072.989  000.903  000.903: require('vim.treesitter._range')
073.227  002.804  000.441: require('vim.treesitter.languagetree')
073.233  003.249  000.446: require('vim.treesitter')
074.269  004.565  001.316: require('nvim-treesitter.parsers')
074.839  000.070  000.070: require('nvim-treesitter.compat')
074.994  000.083  000.083: require('nvim-treesitter.ts_utils')
074.997  000.157  000.073: require('nvim-treesitter.tsrange')
075.070  000.072  000.072: require('nvim-treesitter.caching')
075.075  000.369  000.070: require('nvim-treesitter.query')
075.082  000.449  000.080: require('nvim-treesitter.configs')
075.083  000.813  000.364: require('nvim-treesitter.info')
075.421  000.337  000.337: require('nvim-treesitter.shell_command_selectors')
075.458  006.076  000.215: require('nvim-treesitter.install')
075.582  000.122  000.122: require('nvim-treesitter.statusline')
075.641  000.058  000.058: require('nvim-treesitter.query_predicates')
075.643  007.835  001.578: require('nvim-treesitter')
078.031  010.809  002.974: sourcing /Users/phaedrus/.local/share/nvim/lazy/nvim-treesitter/plugin/nvim-treesitter.lua
078.110  013.065  002.256: require('nvim-treesitter.query')
078.113  016.648  003.583: require('rainbow')
079.149  017.695  001.046: sourcing /Users/phaedrus/.local/share/nvim/lazy/nvim-ts-rainbow/plugin/rainbow.vim
079.995  000.440  000.440: sourcing /Users/phaedrus/.local/share/nvim/lazy/vim-surround/plugin/surround.vim
080.541  000.008  000.008: sourcing /Users/phaedrus/.local/share/nvim/lazy/vim-firestore/ftdetect/firestore.vim
081.206  000.420  000.420: sourcing /Users/phaedrus/.local/share/nvim/lazy/vim-eunuch/plugin/eunuch.vim
082.232  000.015  000.015: sourcing /Users/phaedrus/.local/share/nvim/lazy/plenary.nvim/plugin/plenary.vim
084.278  000.278  000.278: require('vim.lsp.log')
086.013  001.733  001.733: require('vim.lsp.protocol')
087.556  000.435  000.435: require('vim.lsp._snippet_grammar')
087.661  000.099  000.099: require('vim.highlight')
087.671  001.655  001.122: require('vim.lsp.util')
087.803  000.061  000.061: require('vim.lsp.sync')
087.806  000.134  000.073: require('vim.lsp._changetracking')
087.904  000.097  000.097: require('vim.lsp.rpc')
088.517  004.909  001.013: require('vim.lsp')
